pattern_name,keyword
anything,"nào cũng được,bất kỳ,bất kì,bất kể,sao cũng được,sao cung duoc,anything,gì cũng được,nào cũng được,không biết,j cung dc,nao cung dc,sao cung dc,nào cũng được,cũng được,cung dc,cung duoc,sao cũng đc"
hello,"chào, xin chào,chao,xin chao,hello,chao buoi sang,chào buổi sáng,hi "
done,"tạm biệt,bye bye,pp,tam biet,bye"
thanks,"đúng,phải rồi,ok,ừ,ừm,oke,yes,hay quá,cảm ơn,cam on,tks,thanks,thank,thank u,thank you,cám ơn,ty,đúng rồi,tốt lắm,cảm ơn nha,vang,vâng,đúng vậy,chính xác"
